name,type,workshop_id,target,enabled
3CB Factions,workshop,1673456286,@3cb_factions,1
3den Enhanced,workshop,623475643,@3den_enhanced,1
ace,workshop,463939057,@ace,1
ACRE2,workshop,751965892,@acre2,1
ALiVE,workshop,620260972,@alive,1
BackpackOnChest,workshop,820924072,@backpackonchest,1
Blastcore Murr Edition,workshop,2257686620,@blastcore_murr_edition,1
Bloodlust+,workshop,2916769685,@bloodlust_plus,1
BWMod,workshop,1200127537,@bwmod,1
CBA_A3,workshop,450814997,@cba_a3,1
CUP Terrains - Core,workshop,583496184,@cup_terrains_core,1
CUP Terrains - Maps,workshop,583544987,@cup_terrains_maps,1
Enhanced Movement,workshop,333310405,@enhanced_movement,1
Gruppe Adler Trenches,workshop,1224892496,@gruppe_adler_trenches,1
JSRS SOUNDMOD 2025,workshop,3407948300,@jsrs_soundmod_2025,1
JSRS2025 Compatibility,workshop,3750152851,@jsrs2025_compatibility,1
Kane 3CB ALIVE Civilian,local,,@kane_3cb_alive_civilian,1
Kane 3CB Middle East Civilian ALIVE,local,,@kane_3cb_middle_east_civilian_alive,1
No More Aircraft Bouncing,workshop,1770265310,@no_more_aircraft_bouncing,1
Redd'n'Tank Vehicles,workshop,1128145626,@reddntank_vehicles,1
RHSAFRF,workshop,843425103,@rhsafrf,1
RHSGREF,workshop,843593391,@rhsgref,1
RHSSAF,workshop,843632231,@rhssaf,1
RHSUSAF,workshop,843577117,@rhsusaf,1
Zeus Enhanced,workshop,1779063631,@zeus_enhanced,1
